date,temp_avg,precipitation
2025-01-01,7.2,1.1
2025-01-02,2.5,0.0
2025-01-03,0.3,0.0
2025-01-04,-1.5,0.0
2025-01-05,-2.2,0.0
2025-01-06,-2.5,1.7
2025-01-07,-5.1,0.0
2025-01-08,-4.4,0.0
2025-01-09,-4.0,0.0
2025-01-10,-0.8,0.0
2025-01-11,-1.2,2.0
2025-01-12,0.6,0.0
2025-01-13,1.3,0.0
2025-01-14,-1.9,0.0
2025-01-15,-3.4,0.0
2025-01-16,-3.1,0.3
2025-01-17,-0.5,0.0
2025-01-18,2.9,2.1
2025-01-19,0.5,8.8
2025-01-20,-7.5,0.2
2025-01-21,-11.3,0.4
2025-01-22,-11.9,0.0
2025-01-23,-8.4,0.0
2025-01-24,-6.4,0.0
2025-01-25,-6.8,0.0
2025-01-26,-1.0,0.0
2025-01-27,-1.1,0.0
2025-01-28,0.6,0.0
2025-01-29,4.0,0.0
2025-01-30,-1.9,0.0
2025-01-31,3.9,11.2
2025-02-01,0.2,1.5
2025-02-02,-4.2,1.4
2025-02-03,2.0,0.4
2025-02-04,3.4,0.0
2025-02-05,-1.4,0.0
2025-02-06,1.2,8.5
2025-02-07,1.2,0.0
2025-02-08,-1.8,10.0
2025-02-09,-0.1,4.2
2025-02-10,-2.3,0.0
2025-02-11,-4.0,1.9
2025-02-12,-0.6,4.0
2025-02-13,3.4,6.4
2025-02-14,-1.2,0.0
2025-02-15,-0.8,8.5
2025-02-16,3.0,21.5
2025-02-17,-1.7,0.0
2025-02-18,-5.4,0.0
2025-02-19,-5.1,0.0
2025-02-20,-4.8,0.9
2025-02-21,-4.0,0.0
2025-02-22,-1.9,0.0
2025-02-23,2.5,0.0
2025-02-24,3.6,0.0
2025-02-25,7.0,0.0
2025-02-26,7.3,0.2
2025-02-27,8.6,9.1
2025-02-28,6.0,0.0
2025-03-01,6.7,0.0
2025-03-02,-3.5,0.0
2025-03-03,-1.4,0.0
2025-03-04,5.1,0.0
2025-03-05,9.9,41.9
2025-03-06,9.3,0.2
2025-03-07,3.9,0.0
2025-03-08,3.5,0.0
2025-03-09,3.8,0.0
2025-03-10,9.6,0.0
2025-03-11,9.6,0.0
2025-03-12,7.2,0.0
2025-03-13,5.7,0.0
2025-03-14,6.1,0.0
2025-03-15,6.7,0.5
2025-03-16,13.0,8.6
2025-03-17,11.1,30.5
2025-03-18,7.0,0.0
2025-03-19,8.0,0.0
2025-03-20,7.9,15.0
2025-03-21,6.3,3.7
2025-03-22,8.4,0.0
2025-03-23,3.2,0.0
2025-03-24,7.2,13.7
2025-03-25,9.3,0.0
2025-03-26,5.8,0.3
2025-03-27,4.7,0.0
2025-03-28,10.3,1.3
2025-03-29,15.9,7.3
2025-03-30,8.8,0.5
2025-03-31,16.9,41.0
2025-04-01,8.4,4.6
2025-04-02,4.8,0.0
2025-04-03,15.8,1.5
2025-04-04,17.1,7.2
2025-04-05,9.2,1.5
2025-04-06,10.0,3.1
2025-04-07,6.0,8.5
2025-04-08,4.5,0.0
2025-04-09,3.3,0.0
2025-04-10,5.2,0.7
2025-04-11,5.9,14.1
2025-04-12,3.9,14.8
2025-04-13,9.1,0.0
2025-04-14,10.7,0.0
2025-04-15,13.2,1.4
2025-04-16,7.6,0.0
2025-04-17,9.4,0.0
2025-04-18,12.3,0.0
2025-04-19,21.3,0.1
2025-04-20,15.6,0.0
2025-04-21,10.6,0.3
2025-04-22,19.0,0.1
2025-04-23,17.5,0.0
2025-04-24,19.6,0.0
2025-04-25,19.2,0.0
2025-04-26,18.3,13.2
2025-04-27,11.8,0.0
2025-04-28,16.2,0.0
2025-04-29,19.8,0.0
2025-04-30,20.2,0.0
2025-05-01,15.7,0.0
2025-05-02,22.2,0.0
2025-05-03,22.5,9.1
2025-05-04,17.6,13.2
2025-05-05,16.1,13.4
2025-05-06,16.3,20.6
2025-05-07,17.9,0.3
2025-05-08,18.5,0.4
2025-05-09,14.1,14.6
2025-05-10,15.2,0.0
2025-05-11,17.8,0.0
2025-05-12,16.2,0.0
2025-05-13,17.3,4.4
2025-05-14,16.4,26.0
2025-05-15,18.4,4.1
2025-05-16,18.2,0.9
2025-05-17,21.8,2.5
2025-05-18,18.9,0.5
2025-05-19,15.7,0.0
2025-05-20,14.0,0.0
2025-05-21,12.1,4.1
2025-05-22,10.5,22.7
2025-05-23,12.1,3.2
2025-05-24,13.3,0.5
2025-05-25,15.0,0.0
2025-05-26,16.8,0.0
2025-05-27,18.7,0.0
2025-05-28,15.5,10.9
2025-05-29,17.4,2.6
2025-05-30,19.0,9.6
2025-05-31,16.0,37.5
2025-06-01,14.4,0.0
2025-06-02,16.2,0.0
2025-06-03,19.4,0.0
2025-06-04,22.7,0.0
2025-06-05,27.5,0.0
2025-06-06,26.9,3.5
2025-06-07,23.3,3.6
2025-06-08,19.7,2.2
2025-06-09,18.1,2.6
2025-06-10,20.5,17.5
2025-06-11,23.7,0.0
2025-06-12,27.1,0.3
2025-06-13,24.1,0.0
2025-06-14,18.2,5.3
2025-06-15,17.0,5.4
2025-06-16,18.0,4.3
2025-06-17,19.0,4.0
2025-06-18,22.1,11.5
2025-06-19,25.9,4.7
2025-06-20,23.9,0.3
2025-06-21,27.0,0.0
2025-06-22,29.0,0.3
2025-06-23,32.9,0.0
2025-06-24,34.9,0.0
2025-06-25,33.5,0.3
2025-06-26,25.5,0.3
2025-06-27,20.2,7.4
2025-06-28,24.6,0.7
2025-06-29,28.4,0.0
2025-06-30,28.5,0.7
2025-07-01,27.2,8.7
2025-07-02,25.5,2.2
2025-07-03,25.8,0.2
2025-07-04,24.0,0.0
2025-07-05,25.9,0.0
2025-07-06,28.2,0.0
2025-07-07,27.4,4.1
2025-07-08,28.3,15.6
2025-07-09,27.5,3.1
2025-07-10,24.5,17.1
2025-07-11,25.1,0.2
2025-07-12,25.5,0.2
2025-07-13,25.7,0.3
2025-07-14,26.0,18.2
2025-07-15,25.7,1.9
2025-07-16,26.8,2.3
2025-07-17,28.3,1.8
2025-07-18,26.1,0.0
2025-07-19,24.9,0.0
2025-07-20,28.0,4.1
2025-07-21,26.8,0.0
2025-07-22,23.7,0.0
2025-07-23,24.3,0.0
2025-07-24,26.5,0.0
2025-07-25,29.6,5.4
2025-07-26,26.3,0.0
2025-07-27,25.6,9.8
2025-07-28,29.8,0.0
2025-07-29,32.3,0.0
2025-07-30,30.8,8.4
2025-07-31,26.0,8.1
2025-08-01,20.0,1.0
2025-08-02,21.1,0.0
2025-08-03,22.2,0.0
2025-08-04,24.6,0.0
2025-08-05,25.0,0.0
2025-08-06,23.6,0.9
2025-08-07,23.0,0.0
2025-08-08,22.4,0.0
2025-08-09,23.3,0.0
2025-08-10,25.9,0.0
2025-08-11,26.3,0.0
2025-08-12,26.9,0.0
2025-08-13,27.0,9.2
2025-08-14,26.5,1.0
2025-08-15,26.4,0.0
2025-08-16,25.7,4.9
2025-08-17,27.3,3.6
2025-08-18,21.0,0.0
2025-08-19,20.8,0.0
2025-08-20,19.7,2.6
2025-08-21,18.4,0.0
2025-08-22,21.0,0.0
2025-08-23,22.1,0.0
2025-08-24,22.1,0.2
2025-08-25,25.0,0.0
2025-08-26,22.7,0.0
2025-08-27,20.7,0.1
2025-08-28,21.5,0.0
2025-08-29,22.3,0.0
2025-08-30,20.2,0.0
2025-08-31,20.9,0.0
2025-09-01,21.6,0.0
2025-09-02,21.0,0.0
2025-09-03,20.5,0.0
2025-09-04,20.9,6.1
2025-09-05,23.6,3.2
2025-09-06,23.5,20.8
2025-09-07,18.3,17.4
2025-09-08,17.5,0.0
2025-09-09,17.6,0.0
2025-09-10,17.9,5.0
2025-09-11,21.1,0.0
2025-09-12,21.0,0.0
2025-09-13,20.8,0.7
2025-09-14,22.4,0.5
2025-09-15,22.2,0.0
2025-09-16,20.4,0.0
2025-09-17,19.2,6.8
2025-09-18,22.2,0.1
2025-09-19,22.6,0.0
2025-09-20,18.8,0.0
2025-09-21,17.2,0.0
2025-09-22,17.6,0.0
2025-09-23,22.8,6.6
2025-09-24,21.9,4.7
2025-09-25,22.1,46.9
2025-09-26,22.3,0.0
2025-09-27,20.7,0.1
2025-09-28,22.4,0.6
2025-09-29,20.5,0.0
2025-09-30,20.4,0.0
2025-10-01,16.1,0.0
2025-10-02,14.2,0.0
2025-10-03,15.6,0.0
2025-10-04,19.6,0.0
2025-10-05,21.5,0.0
2025-10-06,20.3,0.0
2025-10-07,22.0,0.0
2025-10-08,18.9,5.4
2025-10-09,11.8,0.0
2025-10-10,11.0,0.0
2025-10-11,14.5,1.4
2025-10-12,14.8,15.5
2025-10-13,13.7,31.6
2025-10-14,14.0,0.1
2025-10-15,15.3,0.0
2025-10-16,10.7,0.0
2025-10-17,11.2,0.0
2025-10-18,12.1,0.0
2025-10-19,16.2,0.0
2025-10-20,15.4,10.2
2025-10-21,13.6,0.1
2025-10-22,13.6,1.5
2025-10-23,11.3,0.1
2025-10-24,10.2,0.0
2025-10-25,10.3,0.0
2025-10-26,10.1,0.1
2025-10-27,8.0,0.0
2025-10-28,8.9,0.0
2025-10-29,10.4,0.1
2025-10-30,14.0,44.4
2025-10-31,11.7,0.0
2025-11-01,10.2,0.0
2025-11-02,9.0,0.0
2025-11-03,10.2,0.1
2025-11-04,10.8,0.0
2025-11-05,11.4,1.6
2025-11-06,9.1,0.0
2025-11-07,9.0,0.0
2025-11-08,14.2,4.8
2025-11-09,12.9,0.3
2025-11-10,9.6,11.8
2025-11-11,2.4,0.5
2025-11-12,5.7,0.0
2025-11-13,7.2,1.8
2025-11-14,6.4,0.0
2025-11-15,5.9,0.8
2025-11-16,9.3,0.2
2025-11-17,3.9,0.0
2025-11-18,4.6,0.0
2025-11-19,4.7,4.6
2025-11-20,3.2,0.0
2025-11-21,7.0,0.0
2025-11-22,7.7,5.1
2025-11-23,3.9,0.0
2025-11-24,6.8,0.0
2025-11-25,8.1,13.7
2025-11-26,13.1,1.1
2025-11-27,5.2,0.0
2025-11-28,2.5,0.0
2025-11-29,1.8,0.0
2025-11-30,2.9,3.3
2025-12-01,2.9,0.0
2025-12-02,1.0,17.2
2025-12-03,1.1,0.0
2025-12-04,0.5,0.1
2025-12-05,-3.4,0.0
2025-12-06,0.6,0.4
2025-12-07,1.5,0.0
2025-12-08,-2.1,0.0
2025-12-09,-3.7,0.0
2025-12-10,2.7,3.1
2025-12-11,0.6,0.0
2025-12-12,-1.9,0.0
2025-12-13,-0.6,1.1
2025-12-14,-3.0,11.4
2025-12-15,-6.2,0.0
2025-12-16,-5.5,0.0
2025-12-17,-0.2,0.0
2025-12-18,1.7,0.0
2025-12-19,8.7,26.2
2025-12-20,-0.0,0.0
2025-12-21,2.3,0.0
2025-12-22,-0.5,0.0
2025-12-23,1.5,2.9
2025-12-24,3.3,0.0
2025-12-25,2.0,0.0
2025-12-26,-4.1,8.1
2025-12-27,-3.8,4.6
2025-12-28,-5.4,0.9
2025-12-29,3.3,3.9
2025-12-30,-1.4,0.0
2025-12-31,-2.1,0.0
